,측정일자,도로변구분,측정소명,미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
0,20230712,일반도로,한강대로,28,0.0162,0.0262,0.56,0.0031
1,20230712,일반도로,홍릉로,19,0.0145,0.0236,0.4,0.0026
2,20230712,중앙차로,동작대로,23,0.0093,0.0309,0.53,0.0034
5,20230712,일반도로,천호대로,20,0.0115,0.0251,0.44,0.0022
9,20230712,중앙차로,공항대로,23,0.0201,0.0219,0.33,0.0023
10,20230712,전용차로,정릉로,25,0.0123,0.0238,0.47,0.0027
12,20230712,중앙차로,강남대로,20,0.0097,0.0239,0.4,0.0022
13,20230712,일반도로,도산대로,22,0.0102,0.0239,0.69,0.0021
14,20230712,일반도로,청계천로,28,0.0098,0.0258,0.51,0.0041
15,20230712,일반도로,종로,22,0.0087,0.0207,0.54,0.0031
16,20230712,일반도로,화랑로,20,0.0115,0.0254,0.44,0.0022
17,20230712,일반도로,영등포로,26,0.0095,0.0324,0.53,0.0025
19,20230712,전용차로,강변북로,23,0.0093,0.027,0.54,0.0026
20,20230712,일반도로,신촌로,24,0.0117,0.0232,0.45,0.0028
21,20230712,경계,행주,26,0.0107,0.0268,0.41,0.002
22,20230712,경계,항동,20,0.0212,0.0084,0.48,0.0028
23,20230712,일반도로,시흥대로,26,0.0123,0.0336,0.41,0.0029
24,20230712,경계,세곡,25,0.0099,0.0169,0.43,0.0026
25,20230711,전용차로,정릉로,31,0.0272,0.0326,0.47,0.0027
26,20230711,중앙차로,강남대로,16,0.023,0.0329,0.5,0.0021
27,20230711,중앙차로,공항대로,21,0.0354,0.0261,0.31,0.0024
28,20230711,일반도로,청계천로,27,0.0292,0.0275,0.52,0.0039
29,20230711,경계,행주,22,0.0377,0.021,0.35,0.002
30,20230711,일반도로,신촌로,20,0.0341,0.0214,0.42,0.0026
31,20230711,일반도로,시흥대로,23,0.02,0.0445,0.54,0.0028
32,20230711,일반도로,화랑로,22,0.0251,0.0348,0.48,0.0024
33,20230711,경계,세곡,18,0.0317,0.0157,0.41,0.0026
34,20230711,일반도로,종로,20,0.0236,0.0302,0.6,0.0033
35,20230711,일반도로,천호대로,20,0.0332,0.0267,0.42,0.0022
38,20230711,전용차로,강변북로,17,0.0327,0.0276,0.54,0.0025
39,20230711,경계,항동,16,0.0336,0.0113,0.53,0.0027
40,20230711,일반도로,도산대로,19,0.0321,0.0232,0.63,0.0021
41,20230711,일반도로,영등포로,21,0.0304,0.0318,0.5,0.0026
42,20230711,중앙차로,동작대로,21,0.0302,0.036,0.51,0.0033
46,20230711,일반도로,홍릉로,19,0.0403,0.0252,0.41,0.0029
47,20230711,일반도로,한강대로,22,0.0402,0.0269,0.56,0.0032
51,20230710,경계,세곡,31,0.0473,0.0086,0.44,0.0026
52,20230710,경계,항동,30,0.0572,0.0065,0.54,0.0029
53,20230710,중앙차로,공항대로,36,0.0495,0.0237,0.27,0.0025
54,20230710,일반도로,청계천로,42,0.0376,0.0234,0.53,0.0036
