"msrdt_de","msrrgn_cd","msrrgn_nm","msradm","msrste_nm","pm10","o3","no2","co","so2"
"20201231","103","서남권","111232","영등포로","28","0.013","0.031","0.5","0.004"
"20201231","999","기타","555553","북한산","20","0.026","0.009","0.4","0.002"
"20201231","108","입체","111200","마포아트센터","25","0.022","0.02","0.7","0.005"
"20201231","999","기타","555554","관악산","27","0.024","0.014","0.2","0.003"
"20201231","102","동북권","111154","홍릉로","5","0.014","0.027","0.5","0.004"
"20201231","999","기타","555552","남산","21","0.022","0.013","0.3","0.003"
"20201231","102","동북권","111276","강변북로","28","0.016","0.026","0.9","0.004"
"20201231","103","서남권","111213","공항대로","33","0.016","0.025","0.4","0.003"
"20201231","999","기타","555550","궁동","26","0.016","0.02","0.4","0.003"
"20201231","102","동북권","111277","화랑로","30","0.01","0.027","0.3","0.003"
"20201231","103","서남권","111242","동작대로","30","0.012","0.03","0.4","0.003"
"20201231","108","입체","111192","자연사박물관","25","0.023","0.016","0.8","0.005"
"20201231","102","동북권","111162","정릉로","27","0.013","0.031","0.5","0.003"
"20201231","101","서북권","111202","신촌로","32","0.014","0.035","0.6","0.003"
"20201231","104","동남권","111263","도산대로","31","0.014","0.024","0.7","0.004"
"20201231","104","동남권","111278","강남대로","29","0.014","0.028","0.7","0.005"
"20201231","104","동남권","111156","천호대로","31","0.014","0.03","0.5","0.003"
"20201231","100","도심권","111155","종로","24","0.021","0.016","0.4","0.003"
"20201231","100","도심권","111122","한강대로","30","0.017","0.026","0.5","0.003"
"20201231","103","서남권","111545","시흥대로","33","0.012","0.034","0.5","0.004"
"20201231","108","입체","111272","올림픽공원","22","0.02","0.018","0.7","0.005"
"20201231","108","입체","111143","서울숲","29","0.021","0.02","0.3","0.003"
"20201231","999","기타","555555","행주","24","0.026","0.013","0.6","0.003"
"20201231","100","도심권","111124","청계천로","25","0.019","0.021","0.5","0.003"
"20201231","999","기타","555556","세곡","32","0.016","0.027","0.3","0.005"
"20201230","999","기타","555556","세곡","39","0.022","0.015","0.2","0.004"
"20201230","100","도심권","111155","종로","31","0.022","0.01","0.3","0.002"
"20201230","104","동남권","111263","도산대로","39","0.017","0.016","0.6","0.003"
"20201230","103","서남권","111545","시흥대로","36","0.019","0.017","0.4","0.003"
"20201230","102","동북권","111154","홍릉로","5","0.017","0.02","0.5","0.004"
"20201230","104","동남권","111278","강남대로","39","0.018","0.019","0.6","0.004"
"20201230","104","동남권","111156","천호대로","39","0.017","0.022","0.4","0.003"
"20201230","999","기타","555555","행주","31","0.029","0.006","0.5","0.002"
"20201230","999","기타","555553","북한산","31","0.026","0.006","0.4","0.002"
"20201230","103","서남권","111232","영등포로","33","0.018","0.02","0.4","0.003"
"20201230","999","기타","555550","궁동","29","0.021","0.011","0.3","0.002"
"20201230","999","기타","555552","남산","29","0.023","0.011","0.8","0.002"
"20201230","108","입체","111192","자연사박물관","34","0.025","0.01","0.7","0.004"
"20201230","103","서남권","111242","동작대로","34","0.015","0.02","0.3","0.002"
"20201230","102","동북권","111277","화랑로","39","0.013","0.019","0.3","0.002"
"20201230","100","도심권","111124","청계천로","32","0.02","0.014","0.4","0.002"
"20201230","999","기타","555554","관악산","33","0.026","0.007","0.2","0.002"
"20201230","102","동북권","111276","강변북로","36","0.019","0.018","0.8","0.003"
"20201230","100","도심권","111122","한강대로","37","0.02","0.016","0.4","0.003"
"20201230","101","서북권","111202","신촌로","37","0.017","0.028","0.5","0.003"
"20201230","102","동북권","111162","정릉로","35","0.017","0.021","0.4","0.002"
"20201230","108","입체","111272","올림픽공원","31","0.024","0.011","0.6","0.004"
"20201230","103","서남권","111213","공항대로","36","0.021","0.015","0.4","0.002"
"20201230","108","입체","111143","서울숲","41","0.023","0.013","0.2","0.003"
"20201230","108","입체","111200","마포아트센터","34","0.025","0.013","0.6","0.004"
"20201229","108","입체","111143","서울숲","69","0.012","0.041","0.6","0.005"
"20201229","104","동남권","111263","도산대로","75","0.007","0.045","1.2","0.003"
"20201229","103","서남권","111213","공항대로","74","0.01","0.04","0.9","0.003"
"20201229","102","동북권","111276","강변북로","66","0.008","0.041","1","0.003"
"20201229","102","동북권","111162","정릉로","65","0.008","0.049","0.9","0.004"
"20201229","102","동북권","111277","화랑로","66","0.007","0.039","0.7","0.003"
"20201229","100","도심권","111122","한강대로","78","0.009","0.034","0.9","0.003"
"20201229","104","동남권","111156","천호대로","73","0.006","0.05","1","0.005"
"20201229","999","기타","555554","관악산","61","0.031","0.019","0.4","0.003"
"20201229","104","동남권","111278","강남대로","75","0.007","0.038","1.3","0.005"
"20201229","102","동북권","111154","홍릉로","63","0.008","0.043","1","0.004"
"20201229","101","서북권","111202","신촌로","74","0.007","0.051","1","0.003"
"20201229","100","도심권","111155","종로","63","0.011","0.031","0.8","0.003"
"20201229","108","입체","111192","자연사박물관","65","0.012","0.033","1.1","0.004"
"20201229","103","서남권","111232","영등포로","74","0.008","0.04","0.9","0.004"
"20201229","108","입체","111272","올림픽공원","56","0.013","0.033","1.2","0.005"
"20201229","103","서남권","111242","동작대로","70","0.006","0.05","0.6","0.003"
"20201229","999","기타","555550","궁동","71","0.011","0.027","0.8","0.003"
"20201229","999","기타","555552","남산","58","0.016","0.025","1.5","0.003"
"20201229","999","기타","555553","북한산","53","0.024","0.014","0.6","0.002"
"20201229","108","입체","111200","마포아트센터","68","0.013","0.042","1.1","0.004"
"20201229","100","도심권","111124","청계천로","61","0.01","0.039","0.9","0.005"
"20201229","103","서남권","111545","시흥대로","83","0.008","0.043","0.9","0.004"
"20201229","999","기타","555556","세곡","73","0.009","0.039","1","0.006"
"20201229","999","기타","555555","행주","68","0.023","0.017","1","0.002"
"20201228","101","서북권","111202","신촌로","60","0.005","0.064","1","0.004"
"20201228","103","서남권","111545","시흥대로","74","0.005","0.058","0.8","0.005"
"20201228","999","기타","555556","세곡","66","0.008","0.049","1","0.006"
"20201228","103","서남권","111232","영등포로","63","0.006","0.054","0.8","0.004"
"20201228","102","동북권","111277","화랑로","67","0.004","0.054","0.7","0.003"
"20201228","999","기타","555550","궁동","63","0.005","0.044","0.7","0.003"
"20201228","108","입체","111272","올림픽공원","58","0.007","0.042","1.1","0.004"
"20201228","999","기타","555553","북한산","51","0.013","0.03","0.6","0.002"
"20201228","108","입체","111192","자연사박물관","55","0.01","0.045","1","0.004"
"20201228","103","서남권","111242","동작대로","66","0.004","0.062","0.7","0.004"
"20201228","108","입체","111143","서울숲","65","0.01","0.052","0.7","0.005"
"20201228","999","기타","555555","행주","58","0.014","0.037","1","0.002"
"20201228","103","서남권","111213","공항대로","64","0.005","0.06","0.8","0.004"
"20201228","100","도심권","111122","한강대로","71","0.007","0.048","1","0.004"
"20201228","102","동북권","111276","강변북로","66","0.006","0.05","1","0.003"
"20201228","104","동남권","111263","도산대로","68","0.005","0.06","1.3","0.004"
"20201228","100","도심권","111155","종로","61","0.007","0.047","0.9","0.004"
"20201228","102","동북권","111154","홍릉로","62","0.005","0.055","0.9","0.004"
"20201228","104","동남권","111278","강남대로","63","0.005","0.048","1.2","0.006"
"20201228","108","입체","111200","마포아트센터","59","0.011","0.073","1.1","0.004"
"20201228","102","동북권","111162","정릉로","66","0.005","0.063","1","0.004"
"20201228","104","동남권","111156","천호대로","80","0.004","0.058","1","0.005"
"20201228","100","도심권","111124","청계천로","61","0.005","0.06","1.1","0.007"
"20201228","999","기타","555552","남산","46","0.015","0.032","1.4","0.003"
"20201228","999","기타","555554","관악산","57","0.026","0.03","0.4","0.003"
"20201227","101","서북권","111202","신촌로","64","0.01","0.048","0.8","0.004"
"20201227","103","서남권","111545","시흥대로","84","0.008","0.054","0.9","0.004"
"20201227","100","도심권","111122","한강대로","73","0.01","0.039","0.8","0.003"
"20201227","999","기타","555554","관악산","51","0.046","0.011","0.3","0.004"
"20201227","102","동북권","111162","정릉로","66","0.008","0.053","0.8","0.004"
"20201227","108","입체","111143","서울숲","70","0.013","0.042","0.6","0.005"
"20201227","103","서남권","111232","영등포로","73","0.008","0.048","0.9","0.004"
"20201227","104","동남권","111156","천호대로","77","0.01","0.043","0.9","0.005"
"20201227","103","서남권","111213","공항대로","69","0.01","0.05","0.8","0.004"
"20201227","999","기타","555555","행주","62","0.015","0.04","1","0.003"
"20201227","999","기타","555553","북한산","60","0.022","0.022","0.6","0.002"
"20201227","999","기타","555550","궁동","64","0.011","0.034","0.8","0.003"
"20201227","100","도심권","111124","청계천로","63","0.009","0.047","0.8","0.006"
"20201227","102","동북권","111276","강변북로","72","0.009","0.039","0.9","0.003"
"20201227","999","기타","555552","남산","58","0.018","0.029","1.3","0.004"
"20201227","102","동북권","111277","화랑로","66","0.007","0.044","0.7","0.003"
"20201227","103","서남권","111242","동작대로","67","0.008","0.05","0.7","0.004"
"20201227","108","입체","111192","자연사박물관","64","0.02","0.032","0.9","0.005"
"20201227","999","기타","555556","세곡","74","0.016","0.032","0.9","0.008"
"20201227","108","입체","111200","마포아트센터","66","0.014","0.067","1","0.004"
"20201227","108","입체","111272","올림픽공원","58","0.014","0.031","1.1","0.004"
"20201227","104","동남권","111278","강남대로","73","0.01","0.038","1.2","0.006"
"20201227","100","도심권","111155","종로","62","0.009","0.042","0.8","0.004"
"20201227","104","동남권","111263","도산대로","71","0.01","0.045","1.1","0.004"
"20201227","102","동북권","111154","홍릉로","58","0.008","0.045","0.8","0.004"
"20201226","108","입체","111272","올림픽공원","50","0.011","0.036","1","0.005"
"20201226","999","기타","555550","궁동","56","0.01","0.034","0.6","0.003"
"20201226","104","동남권","111156","천호대로","60","0.007","0.051","1","0.005"
"20201226","102","동북권","111276","강변북로","58","0.006","0.044","0.9","0.004"
"20201226","103","서남권","111242","동작대로","55","0.005","0.055","0.8","0.004"
