"측정일자","도로변구분","측정소명","미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"20230712","일반도로","한강대로","28","0.0162","0.0262","0.56","0.0031"
"20230712","일반도로","홍릉로","19","0.0145","0.0236","0.4","0.0026"
"20230712","중앙차로","동작대로","23","0.0093","0.0309","0.53","0.0034"
"20230712","입체","서울숲","20","0.0108","0.0182","0.58","0.0019"
"20230712","고공","관악산","6","0.0501","0.0036","0.25","0.0018"
"20230712","일반도로","천호대로","20","0.0115","0.0251","0.44","0.0022"
"20230712","고공","북한산","12","0.0177","0.0077","0.19","0.0021"
"20230712","고공","남산","16","0.0304","0.0093","0.34","0.0025"
"20230712","입체","올림픽공원","19","0.0106","0.0165","0.21","0.0024"
"20230712","중앙차로","공항대로","23","0.0201","0.0219","0.33","0.0023"
"20230712","전용차로","정릉로","25","0.0123","0.0238","0.47","0.0027"
"20230712","입체","자연사박물관","23","0.0204","0.0151","0","0.0023"
"20230712","중앙차로","강남대로","20","0.0097","0.0239","0.4","0.0022"
"20230712","일반도로","도산대로","22","0.0102","0.0239","0.69","0.0021"
"20230712","일반도로","청계천로","28","0.0098","0.0258","0.51","0.0041"
"20230712","일반도로","종로","22","0.0087","0.0207","0.54","0.0031"
"20230712","일반도로","화랑로","20","0.0115","0.0254","0.44","0.0022"
"20230712","일반도로","영등포로","26","0.0095","0.0324","0.53","0.0025"
"20230712","입체","마포아트센터","30","0.0153","0.0207","0.36","0.0022"
"20230712","전용차로","강변북로","23","0.0093","0.027","0.54","0.0026"
"20230712","일반도로","신촌로","24","0.0117","0.0232","0.45","0.0028"
"20230712","경계","행주","26","0.0107","0.0268","0.41","0.002"
"20230712","경계","항동","20","0.0212","0.0084","0.48","0.0028"
"20230712","일반도로","시흥대로","26","0.0123","0.0336","0.41","0.0029"
"20230712","경계","세곡","25","0.0099","0.0169","0.43","0.0026"
"20230711","전용차로","정릉로","31","0.0272","0.0326","0.47","0.0027"
"20230711","중앙차로","강남대로","16","0.023","0.0329","0.5","0.0021"
"20230711","중앙차로","공항대로","21","0.0354","0.0261","0.31","0.0024"
"20230711","일반도로","청계천로","27","0.0292","0.0275","0.52","0.0039"
"20230711","경계","행주","22","0.0377","0.021","0.35","0.002"
"20230711","일반도로","신촌로","20","0.0341","0.0214","0.42","0.0026"
"20230711","일반도로","시흥대로","23","0.02","0.0445","0.54","0.0028"
"20230711","일반도로","화랑로","22","0.0251","0.0348","0.48","0.0024"
"20230711","경계","세곡","18","0.0317","0.0157","0.41","0.0026"
"20230711","일반도로","종로","20","0.0236","0.0302","0.6","0.0033"
"20230711","일반도로","천호대로","20","0.0332","0.0267","0.42","0.0022"
"20230711","고공","남산","14","0.0466","0.0114","0.42","0.0026"
"20230711","입체","서울숲","17","0.0348","0.0146","0.7","0.002"
"20230711","전용차로","강변북로","17","0.0327","0.0276","0.54","0.0025"
"20230711","경계","항동","16","0.0336","0.0113","0.53","0.0027"
"20230711","일반도로","도산대로","19","0.0321","0.0232","0.63","0.0021"
"20230711","일반도로","영등포로","21","0.0304","0.0318","0.5","0.0026"
"20230711","중앙차로","동작대로","21","0.0302","0.036","0.51","0.0033"
"20230711","입체","마포아트센터","20","0.0429","0.0157","0.31","0.0024"
"20230711","입체","자연사박물관","16","0.0436","0.0127","0.6","0.0025"
"20230711","입체","올림픽공원","16","0.0372","0.0129","0.29","0.0024"
"20230711","일반도로","홍릉로","19","0.0403","0.0252","0.41","0.0029"
"20230711","일반도로","한강대로","22","0.0402","0.0269","0.56","0.0032"
"20230711","고공","북한산","16","0.0346","0.0063","0.19","0.002"
"20230711","고공","관악산","11","0.0592","0.0055","0.3","0.002"
"20230710","고공","남산","27","0.0568","0.0107","0.45","0.0026"
"20230710","경계","세곡","31","0.0473","0.0086","0.44","0.0026"
"20230710","경계","항동","30","0.0572","0.0065","0.54","0.0029"
"20230710","중앙차로","공항대로","36","0.0495","0.0237","0.27","0.0025"
"20230710","일반도로","청계천로","42","0.0376","0.0234","0.53","0.0036"
"20230710","일반도로","영등포로","38","0.0434","0.0302","0.55","0.0025"
"20230710","일반도로","한강대로","40","0.0521","0.0255","0.59","0.0031"
"20230710","중앙차로","동작대로","36","0.0506","0.0285","0.5","0.0034"
"20230710","입체","올림픽공원","28","0.0515","0.0097","0.31","0.0024"
"20230710","경계","행주","41","0.0541","0.0157","0.43","0.0025"
"20230710","일반도로","시흥대로","41","0.0406","0.0302","0.46","0.0026"
"20230710","일반도로","신촌로","38","0.0391","0.024","0.5","0.0026"
"20230710","입체","마포아트센터","38","0.0559","0.0126","0.35","0.0024"
"20230710","입체","자연사박물관","30","0.0558","0.0115","0.6","0.0025"
"20230710","일반도로","홍릉로","32","0.0491","0.0252","0.47","0.0028"
"20230710","일반도로","종로","34","0.0343","0.0219","0.56","0.0031"
"20230710","입체","서울숲","30","0.0415","0.0118","0.53","0.002"
"20230710","고공","북한산","27","0.0415","0.0084","0.27","0.0021"
"20230710","중앙차로","강남대로","32","0.0354","0.026","0.45","0.002"
"20230710","전용차로","정릉로","41","0.036","0.0312","0.49","0.0027"
"20230710","전용차로","강변북로","29","0.0377","0.03","0.56","0.0027"
"20230710","일반도로","화랑로","30","0.0381","0.029","0.46","0.0023"
"20230710","일반도로","도산대로","34","0.0432","0.0191","0.59","0.0021"
"20230710","일반도로","천호대로","31","0.0479","0.0221","0.43","0.0021"
"20230710","고공","관악산","26","0.0725","0.0048","0.37","0.002"
"20230709","일반도로","종로","16","0.0288","0.0153","0.45","0.0029"
"20230709","고공","북한산","8","0.0356","0.0048","0.19","0.002"
"20230709","입체","올림픽공원","12","0.0361","0.0075","0.28","0.0023"
"20230709","경계","행주","18","0.0435","0.0109","0.37","0.002"
"20230709","일반도로","신촌로","17","0.037","0.0117","0.35","0.0026"
"20230709","고공","남산","14","0.0461","0.0074","0.41","0.0024"
"20230709","경계","항동","14","0.0368","0.0052","0.49","0.0026"
"20230709","중앙차로","강남대로","12","0.0308","0.0158","0.36","0.002"
"20230709","전용차로","정릉로","16","0.037","0.0153","0.4","0.0024"
"20230709","일반도로","도산대로","13","0.0361","0.0107","0.5","0.0021"
"20230709","중앙차로","공항대로","16","0.0419","0.0151","0.27","0.0023"
"20230709","일반도로","천호대로","15","0.0377","0.0131","0.33","0.0021"
"20230709","입체","서울숲","12","0.0333","0.0071","0.41","0.0019"
"20230709","전용차로","강변북로","12","0.0334","0.0178","0.47","0.0025"
"20230709","중앙차로","동작대로","16","0.0412","0.0171","0.41","0.003"
"20230709","일반도로","청계천로","19","0.0343","0.0132","0.34","0.0034"
"20230709","일반도로","화랑로","17","0.035","0.0196","0.4","0.0023"
"20230709","고공","관악산","11","0.0556","0.0038","0.31","0.0018"
"20230709","일반도로","시흥대로","19","0.0233","0.0337","0.48","0.0025"
"20230709","경계","세곡","16","0.036","0.0059","0.38","0.0025"
"20230709","입체","자연사박물관","13","0.0434","0.0081","0.51","0.0023"
"20230709","일반도로","영등포로","17","0.035","0.0192","0.43","0.0023"
"20230709","일반도로","홍릉로","15","0.043","0.0148","0.34","0.0028"
"20230709","입체","마포아트센터","17","0.0443","0.0089","0.28","0.0022"
"20230709","일반도로","한강대로","16","0.0462","0.0138","0.45","0.003"
"20230708","일반도로","영등포로","13","0.0333","0.0213","0.44","0.0026"
"20230708","중앙차로","동작대로","14","0.0382","0.02","0.42","0.0033"
"20230708","경계","행주","13","0.0429","0.0133","0.31","0.002"
"20230708","일반도로","시흥대로","14","0.0251","0.0334","0.45","0.0027"
"20230708","일반도로","한강대로","20","0.0397","0.0185","0.46","0.0031"
"20230708","일반도로","홍릉로","14","0.0415","0.017","0.38","0.0029"
"20230708","전용차로","정릉로","16","0.031","0.0232","0.42","0.0026"
"20230708","전용차로","강변북로","10","0.027","0.0282","0.5","0.0026"
"20230708","일반도로","화랑로","16","0.0316","0.0224","0.42","0.0025"
"20230708","일반도로","청계천로","17","0.0325","0.0163","0.39","0.0036"
"20230708","중앙차로","강남대로","11","0.0296","0.0203","0.37","0.0023"
"20230708","일반도로","도산대로","11","0.0322","0.0152","0.53","0.0023"
"20230708","일반도로","천호대로","13","0.0373","0.016","0.35","0.0021"
"20230708","일반도로","종로","13","0.0275","0.0219","0.52","0.0032"
"20230708","입체","올림픽공원","9","0.0416","0.0069","0.25","0.0023"
"20230708","일반도로","신촌로","14","0.0341","0.0161","0.38","0.0026"
