"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"202307121500","노원구","0.0168","0.0651","0.38","0.0022","24","22"
"202307121500","도봉구","0.0084","0.0701","0.31","0.0023","19","16"
"202307121500","서초구","0.018","0.0669","0.34","0.0027","27","20"
"202307121500","관악구","0.0114","0.0748","0.32","0.0028","28","21"
"202307121500","구로구","0.0076","0.0632","0.23","0.0021","14","15"
"202307121500","중랑구","0.02","0.0536","0.33","0.0026","28","23"
"202307121500","서대문구","0.0153","0.0733","0.31","0.0026","27","19"
"202307121500","동대문구","0.0146","0.0723","0.39","0.0034","32","21"
"202307121500","송파구","0.0166","0.0737","0.34","0.0023","26","22"
"202307121500","마포구","0.0194","0.0697","0.35","0.0028","31","26"
"202307121500","강서구","0.0176","0.0554","0.35","0.0028","25","12"
"202307121500","금천구","0.012","0.0629","0.32","0.0025","32","28"
"202307121500","용산구","0.0177","0.0778","0.38","0.0032","24","21"
"202307121500","동작구","0.0089","0.0819","0.25","0.0025","27","23"
"202307121500","은평구","0.0126","0.0574","0.43","0.0025","28","24"
"202307121500","종로구","0.0195","0.0684","0.44","0.0028","26","20"
"202307121500","성동구","0.018","0.0712","0.33","0.0031","29","25"
"202307121500","강북구","0.0081","0.0766","0.34","0.0023","32","22"
"202307121500","강동구","0.0146","0.0522","0.32","0.0028","25","17"
"202307121500","양천구","0.0156","0.0627","0.37","0.0026","28","21"
"202307121500","강남구","0.0171","0.0674","0.31","0.0026","27","21"
"202307121500","성북구","0.0163","0.0684","0.39","0.0028","","23"
"202307121500","광진구","0.0119","0.0675","0.23","0.0025","",""
"202307121500","영등포구","0.0233","0.061","0.4","0.0027","28","23"
"202307121500","중구","0.018","0.0661","0.34","0.0028","23","23"
"202307121400","영등포구","0.0204","0.0627","0.37","0.0029","27","17"
"202307121400","마포구","0.0161","0.0772","0.37","0.003","29","20"
"202307121400","성북구","0.0151","0.061","0.39","0.0029","27","24"
"202307121400","중구","0.0162","0.0636","0.34","0.0029","23","21"
"202307121400","강서구","0.0201","0.0569","0.36","0.0033","30","18"
"202307121400","용산구","0.0142","0.0758","0.35","0.0029","29","23"
"202307121400","종로구","0.0174","0.0635","0.42","0.0032","24","19"
"202307121400","중랑구","0.0236","0.0542","0.33","0.0025","24","17"
"202307121400","도봉구","0.0089","0.0664","0.3","0.0024","17","12"
"202307121400","서대문구","0.0141","0.0723","0.29","0.0027","24","16"
"202307121400","동대문구","0.0156","0.0621","0.39","0.003","28","20"
"202307121400","서초구","0.0134","0.0653","0.32","0.0027","25","15"
"202307121400","강동구","0.0137","0.0468","0.32","0.0026","25","16"
"202307121400","송파구","0.0221","0.0597","0.35","0.0025","25","17"
"202307121400","구로구","0.0068","0.0601","0.22","0.0022","20","8"
